1403636628.063555479 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 1.00000
1403636628.113555431 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 1.00000
1403636628.163555384 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 1.00000
1403636628.213555574 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 1.00000
1403636628.263555527 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 1.00000
1403636628.313555479 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 1.00000
1403636628.363555431 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 1.00000
1403636628.413555384 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 1.00000
1403636628.463555574 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 1.00000
1403636628.513555527 0.04038 -0.05981 0.09652 0.78187 -0.01339 0.62295 -0.02073
